Car_Name,Year,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,engine,max_power,seats,mileage
Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,1248,74,5,23.4
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,1498,103.52,5,21.14
Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,1497,78,5,17.7
Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,1396,90,5,23
Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,1298,88.2,5,16.1
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,1197,81.86,5,20.14
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,1061,57.5,5,24.22
Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,796,37,4,16.1
Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,1364,67.1,5,23.59
Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,1399,68.1,5,20
Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,1461,108.45,5,19.01
Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,993,60,5,17.3
Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,1248,73.9,5,19.3
Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,1061,67,5,18.9
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,1198,82,5,18.15
Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,1248,88.5,7,24.52
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,1396,90,5,23
Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,1396,88.73,5,22.54
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,1461,64.1,5,21
Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,1498,98.6,5,25.5
Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,1248,74,5,26.59
Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,1248,88.8,5,21.5
Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,1199,83.81,5,20.3
Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,1197,83.1,5,21.4
Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,796,47.3,5,24.7
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,1248,73.8,7,18.2
Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,1061,67,5,18.9
Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,796,34.2,8,16.8
Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,1248,88.5,5,24.3
Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,796,35,5,14
Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,1197,81.83,5,18.6
Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,1248,88.5,5,24.3
Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,998,67.1,5,23.95
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,1591,121.3,5,17
Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,1198,67,5,20.63
Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,2179,138.03,7,13.93
Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,796,37,4,16.1
Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,1497,117.3,5,17.8
Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,1497,116.3,5,16.8
Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,1197,83.14,5,18.5
Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,1248,88.5,5,24.3
Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,998,67.05,5,23.95
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,2494,100,7,12.99
Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,1498,98.63,5,24.7
Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,1498,98.6,5,26
Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,1462,103.25,5,20.65
Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,1498,98.6,5,27.3
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,2494,100.6,7,12.99
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,1248,88.8,5,21.12
Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,1197,78.9,5,20.36
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,1396,88.76,5,21.27
Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,1248,74,5,26.59
Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,1196,86.8,5,18.16
Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,1197,83.1,5,21.4
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,1498,108.495,5,22
Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,1498,98.6,5,25.1
Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,998,67,5,20.51
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,1498,108.62,5,21.66
Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,Manual,First Owner,1248,88.5,5,24.3
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,1248,88.5,5,24.3
Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,1197,78.9,5,20.36
Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,1248,74,5,25.2
Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,1248,74,5,22.9
Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,1373,93.7,7,16.02
Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,1598,103.6,5,20.54
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,2494,100.6,8,12.99
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,1498,98.59,5,22.77
Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,998,67.04,5,23.1
Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,1198,67.05,5,19.02
Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,796,47.3,5,24.7
Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,796,47.3,5,24.7
Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,1086,68.05,5,19.81
Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,796,35,5,14
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,1198,74,5,16.47
Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,1086,68.05,5,19.81
Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,1598,103.6,5,15.04
